Quarter,Month,Culture_Concert,Culture_Library,Culture_Theatre,Service_Administration,Service_Hospital,Service_Museum
Minimum,,34.02,65.59,2.35,83.09,46.51,20.07
,  ,34.02,65.59,2.35,83.09,46.51,20.07
Q2,,34.02,65.59,2.35,83.09,46.51,20.07
,  December,37.36,80.73,13.17,91.28,58.30,29.63
,  June,34.02,65.59,2.35,83.09,46.51,20.07
,  November,35.63,72.36,11.74,89.86,48.93,27.24
Q4,,35.79,65.73,8.28,85.91,47.13,24.78
,  April,35.79,65.73,8.28,85.91,47.13,24.78
,  June,45.15,80.14,16.92,92.34,58.10,32.99
,  October,36.31,77.17,11.01,91.51,56.47,28.55
