Quarter,Month,Culture_Concert,Culture_Library,Culture_Museum,Service_Administration,Service_Hospital,Service_Theatre,State,City
Q1,,39.74,69.34,4.62,51.55,85.28,24.91,,
,  August,39.74,70.60,4.62,51.55,85.28,24.91,Minnesota,Rochester
,  February,43.04,69.34,7.33,60.83,91.26,30.83,Minnesota,Minneapolis
,  July,47.46,82.45,20.16,64.56,97.75,38.58,Minnesota,Rochester
Q3,,38.98,68.17,0.88,43.41,83.89,21.65,,
,  January,41.31,72.36,10.46,61.40,92.06,31.33,Minnesota,Rochester
,  November,42.48,70.12,5.80,51.17,90.15,28.80,Minnesota,Minneapolis
,  September,38.98,68.17,0.88,43.41,83.89,21.65,Minnesota,Rochester
Q4,,40.63,69.66,1.94,49.21,85.94,23.30,,
,  December,42.51,72.12,5.32,53.41,91.75,30.13,Minnesota,Rochester
,  July,40.63,69.66,1.94,49.21,85.94,23.30,Minnesota,Minneapolis
,  September,46.81,79.51,14.86,62.54,95.64,37.23,Minnesota,Minneapolis
