Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Culture,Museum,Q4,December,4.36
Culture,Museum,Q3,November,16.87
Culture,Museum,Q4,October,17.21
Culture,Museum,Q3,July,20.03
Culture,Museum,Q4,September,21.0
Culture,Museum,Q3,December,22.91
Production,Theatre,Q4,December,24.67
Production,Theatre,Q3,November,24.48
Production,Theatre,Q4,October,25.02
Production,Theatre,Q3,July,28.28
Production,Theatre,Q4,September,32.24
Production,Theatre,Q3,December,41.8
Culture,Concert,Q4,December,51.12
Culture,Concert,Q3,November,51.24
Culture,Concert,Q4,October,56.35
Culture,Concert,Q3,July,57.85
Culture,Concert,Q4,September,58.48
Culture,Concert,Q3,December,65.48
Production,Factory,Q4,December,66.78
Production,Factory,Q3,November,68.96
Production,Factory,Q4,October,70.75
Production,Factory,Q3,July,72.18
Production,Factory,Q4,September,75.25
Production,Factory,Q3,December,75.27
Culture,Workshop,Q4,December,75.59
Culture,Workshop,Q3,November,79.23
Culture,Workshop,Q4,October,86.1
Culture,Workshop,Q3,July,89.04
Culture,Workshop,Q4,September,94.87
Culture,Workshop,Q3,December,98.13
