Polluted element,Type of pollution,California_Berkeley,California_Lenox,Massachusetts_Boston,Massachusetts_Cambridge,Massachusetts_San Francisco
Average,,16.35,-32.65,7.05,-21.05,-11.75
,  ,16.35,-32.65,7.05,-21.05,-11.75
Soil,,32.07,-24.90,-3.60,-38.59,2.37
,  Industrial,15.71,-89.81,-48.24,-70.91,-26.61
,  Inferior Irrigation,-53.67,37.94,5.68,-79.46,-34.18
,  Surface water,86.79,41.55,15.28,-61.96,-26.17
,  Urban Activities,79.44,-89.27,12.90,57.96,96.43
Water,,0.63,-40.41,17.70,-3.51,-25.86
,  Chemical,-47.60,-88.37,13.49,-71.20,-26.12
,  Inorganic Fertilizers,-53.25,38.61,8.46,57.97,-34.41
,  Oxygen-depletion,86.96,-86.02,30.77,68.94,-17.05
,  Solid Waste,16.41,-25.84,18.07,-69.77,-25.87
