Characteristic,Intensity,2016_Illinois_Boulder City,2016_Illinois_Champaign,2016_Illinois_Washington,2018_Nevada_Albany,2018_Nevada_Chicago,2018_Nevada_Las Vegas,2020_Georgia_Reno,2020_Georgia_Springfield
Temperature,,21.45,5.02,17.08,19.33,7.60,26.92,8.40,16.87
,  0-10,21.45,1.87,17.08,2.72,0.93,23.41,6.59,13.56
,  Breeze,20.82,5.02,6.12,1.32,7.60,26.92,8.40,16.87
,  Calm,19.79,1.40,16.79,19.33,7.41,23.15,6.76,13.11
Wind,,20.85,4.31,18.51,22.04,10.73,24.52,23.58,16.57
,  31-40,20.85,4.31,18.51,22.04,10.73,0.43,8.60,16.57
,  Breeze,12.07,0.61,14.67,19.05,1.41,24.52,22.55,11.85
,  Storm,19.29,1.85,17.18,19.59,8.94,22.84,23.58,14.26
Maximum,,21.45,5.02,18.51,22.04,10.73,26.92,23.58,16.87
,  ,21.45,5.02,18.51,22.04,10.73,26.92,23.58,16.87
