Quarter,Month,Culture_Concert,Culture_House,Culture_Museum,Residential_Hotel,Residential_Theatre,State,City
Q1,,41.16,78.20,6.80,62.97,23.15,,
,  August,48.61,83.62,14.85,69.16,31.56,Oregon,Portland
,  February,41.16,78.20,6.80,62.97,23.15,Minnesota,Hastings
,  May,57.72,97.25,23.61,74.90,34.61,Minnesota,Hastings
Q2,,47.51,82.55,7.25,64.61,29.87,,
,  April,57.60,91.05,22.62,71.89,33.35,Oregon,Portland
,  January,61.10,97.33,22.80,77.88,39.89,Minnesota,Hastings
,  September,47.51,82.55,7.25,64.61,29.87,Minnesota,Hastings
Q3,,42.59,80.88,7.04,63.39,23.78,,
,  February,60.61,98.85,23.75,74.01,35.68,Oregon,Portland
,  January,42.59,80.88,7.04,63.39,23.78,Oregon,Portland
,  June,47.12,88.28,15.35,70.13,31.53,Minnesota,Hastings
