Quarter,Month,Production_Hospital,Production_Hotel,Residential_Apartment,Residential_Workshop,Service_Factory,Service_Library,Minimum,State,City
Q2,,68.55,21.53,5.35,52.89,35.00,20.35,5.35,,
,  April,74.57,25.98,8.91,58.91,41.61,89.45,8.91,Minnesota,Hastings
,  August,68.55,21.53,5.35,52.89,35.00,84.53,5.35,Massachusetts,Lenox
,  July,80.69,28.99,19.28,64.29,47.92,20.35,19.28,Massachusetts,Lenox
Q3,,66.74,20.17,0.37,49.82,29.45,82.75,0.37,,
,  July,66.74,20.17,0.37,49.82,29.45,82.75,0.37,Massachusetts,Lenox
,  May,76.14,22.05,9.78,62.55,39.42,89.14,9.78,Massachusetts,Lenox
,  October,69.12,23.85,5.26,52.38,39.34,86.84,5.26,Minnesota,Hastings
Q4,,66.63,20.71,3.37,50.42,33.15,84.06,3.37,,
,  December,67.84,24.04,8.65,57.23,39.81,88.47,8.65,Massachusetts,Lenox
,  June,77.94,27.16,11.22,62.11,40.57,98.60,11.22,Minnesota,Hastings
,  September,66.63,20.71,3.37,50.42,33.15,84.06,3.37,Minnesota,Hastings
