Quarter,Month,Culture_Administration,Culture_Concert,Culture_School,Service_Hospital,Service_Museum,State,City
Q1,,54.82,5.03,88.08,76.18,25.51,,
,  August,54.82,5.93,88.08,76.18,25.51,Michigan,Reno
,  February,61.62,5.03,89.72,79.73,37.78,Nevada,Port Huron
,  June,64.03,19.91,99.28,84.52,49.73,Michigan,Detroit
Q2,,50.73,2.33,86.20,65.63,20.15,,
,  July,56.08,5.02,90.65,77.11,29.09,Nevada,Boulder City
,  June,50.73,2.33,86.20,65.63,20.15,Michigan,Detroit
,  March,62.07,11.86,95.92,83.56,41.98,Michigan,Reno
Q3,,54.06,4.17,88.87,73.20,24.11,,
,  April,54.06,4.17,88.87,73.20,24.11,Nevada,Port Huron
,  January,62.94,17.42,95.63,84.46,41.22,Nevada,Boulder City
,  September,59.32,4.30,91.10,78.30,30.57,Michigan,Detroit
