Polluted element,Type of pollution,Florida_Minneapolis_2021,Florida_Rochester_2017,Florida_Tampa_2017,Minnesota_Fort Lauderdale_2019,Minnesota_Hastings_2022
Air,,35.08,9.62,4.38,35.49,27.47
,  Inorganic Fertilizers,70.29,-16.91,-34.69,-14.96,-34.29
,  Light,-63.13,-22.31,15.79,53.97,-37.91
,  Oxygen-depletion,71.74,-18.45,24.48,56.22,94.73
,  Urban Activities,61.44,96.17,11.92,46.72,87.35
Soil,,-14.71,-7.57,0.04,-32.88,57.50
,  Groundwater,62.36,-19.99,24.62,-73.77,93.82
,  Industrial,-64.75,-29.84,9.28,-89.96,86.00
,  Noise,-61.92,-23.92,15.11,48.79,90.26
,  Solid Waste,5.46,43.49,-48.87,-16.57,-40.09
Water,,-12.31,38.99,-3.90,-11.96,26.97
,  Chemical,72.33,-17.11,-71.09,57.16,-33.45
,  Inferior Irrigation,6.58,-19.68,18.30,-78.49,90.81
,  Surface water,-65.18,96.63,24.60,-74.17,92.64
,  Thermal,-62.96,96.14,12.60,47.67,-42.11
Average,,2.69,13.68,0.17,-3.12,37.31
,  ,2.69,13.68,0.17,-3.12,37.31
