Category,Item,Import_2018,Import_2020,Import_2022,Average
Beverage,,347.07,424.20,387.16,386.14
,  Cream,264.38,464.34,812.18,513.63
,  Soybeans,507.64,321.24,295.29,374.72
,  Wheat,269.18,487.01,54.00,270.06
Cereals,,447.86,584.88,766.86,599.86
,  Soda,327.58,727.73,948.06,667.79
,  Wheat,696.62,189.79,415.51,433.97
,  Yoghurt,319.38,837.11,937.00,697.83
Dairy,,471.97,247.62,471.02,396.87
,  Milk,513.08,589.56,683.61,595.42
,  Seeds,443.75,64.13,548.03,351.97
,  Tea,459.09,89.18,181.42,243.23
Average,,422.30,418.90,541.68,460.96
,  ,422.30,418.90,541.68,460.96
