Polluted element,Type of pollution,Illinois_Champaign_2019,Illinois_Port Huron_2019,Michigan_Minneapolis_2022,Michigan_Springfield_2022,Minnesota_Detroit_2020,Minnesota_Hastings_2020
Air,,7.82,-43.77,-29.11,20.05,38.37,14.17
,  Groundwater,-21.82,-75.87,-93.75,-38.83,-55.35,15.16
,  Industrial,-14.76,-71.99,44.92,94.33,71.59,28.73
,  Inferior Irrigation,98.82,-79.79,-97.39,-58.50,66.97,2.02
,  Noise,-30.94,52.57,29.79,83.20,70.28,10.78
Soil,,5.39,-13.13,-60.53,-12.73,37.66,11.53
,  Industrial,96.09,-84.12,-98.76,-53.49,-63.86,2.47
,  Oxygen-depletion,-28.50,53.85,-92.00,86.17,70.04,13.76
,  Surface water,-17.30,57.14,43.70,-35.72,75.41,22.08
,  Thermal,-28.75,-79.38,-95.04,-47.90,69.04,7.81
Water,,-20.16,-43.90,37.91,-8.70,38.91,-15.81
,  Chemical,-19.78,-72.54,39.20,92.48,-59.55,20.48
,  Inferior Irrigation,-4.90,-76.32,45.43,-33.83,77.16,-99.74
,  Light,-26.04,-76.87,35.02,-44.85,70.61,11.40
,  Urban Activities,-29.90,50.13,31.98,-48.61,67.44,4.62
