Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2017,Humidity,Medium,0.47
2017,Temperature,High,1.63
2017,Wind,Low,2.13
2017,Humidity,21-30,3.06
2017,Temperature,31-40,3.94
2017,Wind,Storm,4.35
2017,Humidity,Breeze,5.81
2017,Temperature,Calm,7.41
2017,Wind,Medium,27.91
2016,Humidity,Medium,9.96
2016,Temperature,High,12.38
2016,Wind,Low,13.91
2016,Humidity,21-30,15.27
2016,Temperature,31-40,20.54
2016,Wind,Storm,22.63
2016,Humidity,Breeze,25.15
2016,Temperature,Calm,27.02
2016,Wind,Medium,25.63
