Quarter,Month,Culture_Concert,Culture_Factory,Culture_Museum,Production_Theatre,Production_Workshop,State,City
Minimum,,58.95,79.31,3.95,32.68,70.30,,
,  ,58.95,79.31,3.95,32.68,70.30,,
Q2,,60.53,84.41,7.63,33.56,70.62,,
,  August,60.53,84.41,7.63,33.56,70.62,Massachusetts,Lenox
,  October,66.94,98.44,21.92,40.89,75.79,Nevada,Boulder City
Q3,,58.95,79.31,3.95,32.68,70.30,,
,  July,58.95,79.31,3.95,32.68,70.30,Nevada,Boulder City
,  May,65.19,92.86,19.64,39.96,75.51,Massachusetts,Lenox
Q4,,64.51,86.49,14.46,35.78,74.01,,
,  April,64.51,86.49,14.46,35.78,74.01,Nevada,Boulder City
,  November,66.71,98.99,31.40,46.43,77.03,Massachusetts,Lenox
