Characteristic,Intensity,2016_California_San Francisco,2017_California_Malibu,2017_Maryland_Columbia,2019_California_Baltimore,2019_Maryland_Berkeley
Humidity,,19.72,6.23,20.68,27.95,13.41
,  0-10,9.30,2.67,20.68,27.95,8.38
,  31-40,19.72,6.23,16.69,13.90,13.41
,  High,17.52,5.33,14.88,8.78,11.98
Temperature,,16.96,6.67,22.83,27.91,11.19
,  31-40,14.31,1.46,20.99,27.91,8.23
,  Low,16.96,4.13,22.83,27.82,10.57
,  Medium,14.72,6.67,18.49,9.07,11.19
Maximum,,19.72,6.67,22.83,27.95,13.41
,  ,19.72,6.67,22.83,27.95,13.41
