Polluted element,Type of pollution,California_Los-Angeles,California_San Francisco,California_Tampa,Florida_Fort Lauderdale,Florida_Malibu,Average
Air,,-69.53,17.69,14.54,18.54,-24.56,-8.66
,  Inferior Irrigation,-56.07,26.69,-2.92,-39.56,48.94,-4.58
,  Inorganic Fertilizers,-77.18,8.43,95.94,76.50,-96.81,1.38
,  Light,-67.84,21.00,-11.64,87.08,-86.38,-11.56
,  Oxygen-depletion,-77.02,14.65,-23.22,-49.86,36.01,-19.89
Soil,,-41.31,13.52,8.50,-16.26,-28.93,-12.90
,  Solid Waste,-77.88,12.00,96.89,-51.81,-94.86,-23.13
,  Surface water,-73.04,15.49,-13.20,82.31,37.26,9.76
,  Thermal,-62.98,24.98,-9.54,-40.08,-84.81,-34.49
,  Urban Activities,48.64,1.61,-40.16,-55.46,26.67,-3.74
Water,,27.29,14.46,-21.40,49.82,5.55,15.14
,  Chemical,53.65,13.32,-31.77,78.33,-93.41,4.02
,  Inferior Irrigation,-78.15,4.17,-37.19,74.44,31.79,-0.99
,  Noise,61.77,16.28,-12.39,-42.65,37.33,12.07
,  Urban Activities,71.90,24.06,-4.27,89.15,46.48,45.46
Average,,-27.85,15.22,0.54,17.37,-15.98,-2.14
,  ,-27.85,15.22,0.54,17.37,-15.98,-2.14
