State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
California,San Francisco,Water,Groundwater,0.97
California,San Francisco,Air,Oxygen-depletion,1.4
California,San Francisco,Soil,Surface water,2.55
California,San Francisco,Water,Chemical,6.5
California,San Francisco,Air,Thermal,9.98
California,San Francisco,Soil,Noise,10.11
California,San Francisco,Water,Light,10.99
California,San Francisco,Air,Urban Activities,12.1
California,San Francisco,Soil,Solid Waste,14.24
California,San Francisco,Water,Inferior Irrigation,16.34
California,San Francisco,Air,Groundwater,20.1
California,San Francisco,Soil,Oxygen-depletion,23.26
Florida,Berkeley,Water,Groundwater,26.78
Florida,Berkeley,Air,Oxygen-depletion,26.26
Florida,Berkeley,Soil,Surface water,28.53
Florida,Berkeley,Water,Chemical,29.13
Florida,Berkeley,Air,Thermal,33.3
Florida,Berkeley,Soil,Noise,39.97
Florida,Berkeley,Water,Light,39.99
Florida,Berkeley,Air,Urban Activities,41.78
Florida,Berkeley,Soil,Solid Waste,41.63
Florida,Berkeley,Water,Inferior Irrigation,47.02
Florida,Berkeley,Air,Groundwater,48.35
Florida,Berkeley,Soil,Oxygen-depletion,49.92
Georgia,Los-Angeles,Water,Groundwater,52.04
Georgia,Los-Angeles,Air,Oxygen-depletion,52.93
Georgia,Los-Angeles,Soil,Surface water,54.4
Georgia,Los-Angeles,Water,Chemical,57.15
Georgia,Los-Angeles,Air,Thermal,59.8
Georgia,Los-Angeles,Soil,Noise,60.2
Georgia,Los-Angeles,Water,Light,66.98
Georgia,Los-Angeles,Air,Urban Activities,67.45
Georgia,Los-Angeles,Soil,Solid Waste,71.12
Georgia,Los-Angeles,Water,Inferior Irrigation,73.39
Georgia,Los-Angeles,Air,Groundwater,73.45
Georgia,Los-Angeles,Soil,Oxygen-depletion,76.41
California,Tampa,Water,Groundwater,86.81
California,Tampa,Air,Oxygen-depletion,91.93
California,Tampa,Soil,Surface water,98.98
California,Tampa,Water,Chemical,-20.02
California,Tampa,Air,Thermal,-96.25
California,Tampa,Soil,Noise,-95.88
California,Tampa,Water,Light,-92.22
California,Tampa,Air,Urban Activities,-92.43
California,Tampa,Soil,Solid Waste,-92.41
California,Tampa,Water,Inferior Irrigation,-91.27
California,Tampa,Air,Groundwater,-91.98
California,Tampa,Soil,Oxygen-depletion,-87.91
Florida,Fort Lauderdale,Water,Groundwater,-89.83
Florida,Fort Lauderdale,Air,Oxygen-depletion,-82.69
Florida,Fort Lauderdale,Soil,Surface water,-81.08
Florida,Fort Lauderdale,Water,Chemical,-80.8
Florida,Fort Lauderdale,Air,Thermal,-77.3
Florida,Fort Lauderdale,Soil,Noise,-75.18
Florida,Fort Lauderdale,Water,Light,-72.67
Florida,Fort Lauderdale,Air,Urban Activities,-67.79
Florida,Fort Lauderdale,Soil,Solid Waste,-67.66
Florida,Fort Lauderdale,Water,Inferior Irrigation,-65.41
Florida,Fort Lauderdale,Air,Groundwater,-58.11
Florida,Fort Lauderdale,Soil,Oxygen-depletion,-56.46
Georgia,Albany,Water,Groundwater,-50.0
Georgia,Albany,Air,Oxygen-depletion,-47.92
Georgia,Albany,Soil,Surface water,-46.88
Georgia,Albany,Water,Chemical,-46.62
Georgia,Albany,Air,Thermal,-45.46
Georgia,Albany,Soil,Noise,-42.7
Georgia,Albany,Water,Light,-41.57
Georgia,Albany,Air,Urban Activities,-41.86
Georgia,Albany,Soil,Solid Waste,-39.81
Georgia,Albany,Water,Inferior Irrigation,-39.72
Georgia,Albany,Air,Groundwater,-32.31
Georgia,Albany,Soil,Oxygen-depletion,-32.59
California,Columbus,Water,Groundwater,-32.78
California,Columbus,Air,Oxygen-depletion,-28.23
California,Columbus,Soil,Surface water,-27.26
California,Columbus,Water,Chemical,-25.15
California,Columbus,Air,Thermal,-25.39
California,Columbus,Soil,Noise,-23.37
California,Columbus,Water,Light,-24.86
California,Columbus,Air,Urban Activities,-23.06
California,Columbus,Soil,Solid Waste,-20.74
California,Columbus,Water,Inferior Irrigation,-19.15
California,Columbus,Air,Groundwater,-18.65
California,Columbus,Soil,Oxygen-depletion,-17.76
Florida,Washington,Water,Groundwater,-16.37
Florida,Washington,Air,Oxygen-depletion,-15.49
Florida,Washington,Soil,Surface water,-15.71
Florida,Washington,Water,Chemical,-14.7
Florida,Washington,Air,Thermal,-12.22
Florida,Washington,Soil,Noise,-12.66
Florida,Washington,Water,Light,-10.71
Florida,Washington,Air,Urban Activities,-15.57
Florida,Washington,Soil,Solid Waste,-8.61
Florida,Washington,Water,Inferior Irrigation,-5.08
Florida,Washington,Air,Groundwater,-3.39
Florida,Washington,Soil,Oxygen-depletion,-1.64
