Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Service,Library,Q4,October,Massachusetts,Lenox,2.41
Service,Library,Q1,November,Massachusetts,Boston,5.87
Service,Library,Q4,December,Massachusetts,Lenox,11.81
Service,Library,Q1,February,Massachusetts,Boston,16.45
Service,Library,Q4,March,Massachusetts,Lenox,16.94
Service,Library,Q1,January,Massachusetts,Boston,17.91
Residential,Administration,Q4,October,Massachusetts,Lenox,21.71
Residential,Administration,Q1,November,Massachusetts,Boston,26.29
Residential,Administration,Q4,December,Massachusetts,Lenox,27.69
Residential,Administration,Q1,February,Massachusetts,Boston,31.06
Residential,Administration,Q4,March,Massachusetts,Lenox,47.61
Residential,Administration,Q1,January,Massachusetts,Boston,48.17
Service,House,Q4,October,Massachusetts,Lenox,53.5
Service,House,Q1,November,Massachusetts,Boston,57.31
Service,House,Q4,December,Massachusetts,Lenox,63.44
Service,House,Q1,February,Massachusetts,Boston,68.83
Service,House,Q4,March,Massachusetts,Lenox,75.54
Service,House,Q1,January,Massachusetts,Boston,77.75
Residential,Apartment,Q4,October,Massachusetts,Lenox,78.78
Residential,Apartment,Q1,November,Massachusetts,Boston,83.61
Residential,Apartment,Q4,December,Massachusetts,Lenox,85.58
Residential,Apartment,Q1,February,Massachusetts,Boston,89.57
Residential,Apartment,Q4,March,Massachusetts,Lenox,93.1
Residential,Apartment,Q1,January,Massachusetts,Boston,97.96
