Characteristic,Intensity,2015_Massachusetts_Albany,2015_Massachusetts_Boston,2015_Massachusetts_Columbus,2019_Georgia_Lenox,2019_Georgia_Washington,Maximum
Humidity,,24.77,5.03,14.53,13.93,25.93,25.93
,  11-20,24.77,5.03,5.29,13.30,9.46,24.77
,  Breeze,18.56,4.24,14.53,13.93,7.82,18.56
,  Low,18.21,1.97,9.15,10.52,25.93,25.93
Temperature,,26.39,9.66,13.36,18.65,26.56,26.56
,  21-30,24.05,5.86,3.63,13.61,9.37,24.05
,  High,21.42,3.27,13.36,9.93,26.56,26.56
,  Low,26.39,9.66,7.45,18.65,9.04,26.39
Wind,,26.87,8.47,18.91,17.43,22.68,26.87
,  31-40,26.87,8.47,18.91,17.43,9.26,26.87
,  Calm,21.50,5.21,15.82,14.00,8.18,21.50
,  Medium,17.86,2.62,0.23,11.50,22.68,22.68
