Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2019,Q3,Fire,Serious,68.39
Female,2019,Q3,Drowning,Slight,90.3
Female,2016,Q1,Fire,Serious,38.96
Female,2016,Q1,Drowning,Slight,43.1
Female,2017,Q3,Fire,Serious,13.3
Female,2017,Q3,Drowning,Slight,45.18
Female,2019,Q1,Fire,Serious,47.08
Female,2019,Q1,Drowning,Slight,18.29
Female,2016,Q3,Fire,Serious,20.87
Female,2016,Q3,Drowning,Slight,56.71
Female,2017,Q1,Fire,Serious,58.94
Female,2017,Q1,Drowning,Slight,94.17
