Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2022,Temperature,0-10,1.51
2022,Humidity,11-20,2.53
2022,Temperature,High,2.8
2022,Humidity,Medium,5.32
2022,Temperature,Low,6.9
2022,Humidity,0-10,8.81
2018,Temperature,0-10,11.94
2018,Humidity,11-20,11.42
2018,Temperature,High,13.78
2018,Humidity,Medium,15.8
2018,Temperature,Low,16.66
2018,Humidity,0-10,17.02
2019,Temperature,0-10,18.56
2019,Humidity,11-20,19.16
2019,Temperature,High,20.81
2019,Humidity,Medium,25.47
2019,Temperature,Low,27.39
2019,Humidity,0-10,25.42
