Characteristic,Intensity,2015_Florida_Aberdeen,2015_Florida_Detroit,2019_Michigan_Port Huron,2019_Michigan_Tampa,2022_Maryland_Columbia,2022_Maryland_Fort Lauderdale,Maximum
Humidity,,15.75,16.91,22.85,27.51,9.44,27.83,27.83
,  0-10,15.09,16.91,22.85,27.51,9.44,8.88,27.51
,  21-30,12.15,3.18,19.26,21.82,3.32,27.83,27.83
,  Calm,15.75,1.83,20.56,23.67,6.78,27.16,27.16
Temperature,,16.06,13.15,20.53,25.15,7.45,27.10,27.10
,  0-10,10.36,9.66,17.57,13.43,1.38,26.18,26.18
,  Breeze,13.61,9.85,6.71,21.58,4.40,22.12,22.12
,  Medium,16.06,13.15,20.53,25.15,7.45,27.10,27.10
Wind,,17.86,14.74,7.21,26.74,4.71,27.63,27.63
,  31-40,9.36,9.11,6.79,16.23,2.89,27.63,27.63
,  Low,17.86,14.74,1.31,26.74,2.24,26.00,26.74
,  Storm,13.88,13.64,7.21,23.36,4.71,5.58,23.36
