Quarter,Month,Production_Factory,Production_Library,Production_School,Service_Hospital,Service_Workshop
Minimum,,4.49,76.71,41.62,54.70,23.79
,  ,4.49,76.71,41.62,54.70,23.79
Q1,,4.49,76.71,42.12,54.70,23.79
,  April,10.55,83.86,45.01,64.36,26.63
,  February,4.49,76.71,42.12,54.70,23.79
,  October,13.70,91.41,48.63,72.70,29.37
Q2,,7.30,81.15,43.98,58.01,24.14
,  December,17.80,92.41,51.31,73.34,38.74
,  June,13.89,88.33,45.71,64.48,26.45
,  March,7.30,81.15,43.98,58.01,24.14
Q4,,9.47,82.40,41.62,63.45,24.84
,  February,20.00,94.56,53.61,74.14,41.81
,  January,9.47,82.40,41.62,63.45,24.84
,  November,14.70,89.94,41.66,71.60,29.52
