State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Maryland,Aberdeen,Air,Light,1.07
Maryland,Aberdeen,Soil,Thermal,10.19
Maryland,Aberdeen,Water,Urban Activities,13.7
Maryland,Aberdeen,Air,Inorganic Fertilizers,21.51
Maryland,Aberdeen,Soil,Surface water,28.41
Maryland,Aberdeen,Water,Groundwater,32.9
Massachusetts,Baltimore,Air,Light,-95.19
Massachusetts,Baltimore,Soil,Thermal,-96.02
Massachusetts,Baltimore,Water,Urban Activities,35.29
Massachusetts,Baltimore,Air,Inorganic Fertilizers,36.59
Massachusetts,Baltimore,Soil,Surface water,38.23
Massachusetts,Baltimore,Water,Groundwater,-83.0
Illinois,Cambridge,Air,Light,51.08
Illinois,Cambridge,Soil,Thermal,-77.24
Illinois,Cambridge,Water,Urban Activities,-70.87
Illinois,Cambridge,Air,Inorganic Fertilizers,-70.95
Illinois,Cambridge,Soil,Surface water,-67.46
Illinois,Cambridge,Water,Groundwater,-64.2
Maryland,Lenox,Air,Light,66.75
Maryland,Lenox,Soil,Thermal,73.75
Maryland,Lenox,Water,Urban Activities,-51.62
Maryland,Lenox,Air,Inorganic Fertilizers,78.42
Maryland,Lenox,Soil,Surface water,-50.26
Maryland,Lenox,Water,Groundwater,-46.88
Massachusetts,Boston,Air,Light,83.13
Massachusetts,Boston,Soil,Thermal,-45.38
Massachusetts,Boston,Water,Urban Activities,-43.07
Massachusetts,Boston,Air,Inorganic Fertilizers,-43.83
Massachusetts,Boston,Soil,Surface water,87.83
Massachusetts,Boston,Water,Groundwater,-40.4
Illinois,Springfield,Air,Light,-39.83
Illinois,Springfield,Soil,Thermal,-39.87
Illinois,Springfield,Water,Urban Activities,91.64
Illinois,Springfield,Air,Inorganic Fertilizers,-39.22
Illinois,Springfield,Soil,Surface water,-35.17
Illinois,Springfield,Water,Groundwater,96.49
Maryland,Chicago,Air,Light,-32.37
Maryland,Chicago,Soil,Thermal,-6.66
Maryland,Chicago,Water,Urban Activities,-29.1
Maryland,Chicago,Air,Inorganic Fertilizers,-30.11
Maryland,Chicago,Soil,Surface water,-27.98
Maryland,Chicago,Water,Groundwater,97.06
Massachusetts,Champaign,Air,Light,-10.13
Massachusetts,Champaign,Soil,Thermal,-8.51
Massachusetts,Champaign,Water,Urban Activities,-7.01
Massachusetts,Champaign,Air,Inorganic Fertilizers,-6.02
Massachusetts,Champaign,Soil,Surface water,-4.65
Massachusetts,Champaign,Water,Groundwater,-1.95
