Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,House,Q3,August,2.51
Residential,House,Q4,September,2.4
Residential,House,Q2,July,2.78
Residential,House,Q3,November,4.74
Residential,House,Q4,October,5.47
Residential,House,Q2,December,6.88
Residential,House,Q3,June,5.95
Residential,House,Q4,April,9.54
Residential,House,Q2,August,10.94
Culture,Hotel,Q3,August,10.85
Culture,Hotel,Q4,September,11.6
Culture,Hotel,Q2,July,13.52
Culture,Hotel,Q3,November,13.79
Culture,Hotel,Q4,October,10.68
Culture,Hotel,Q2,December,22.67
Culture,Hotel,Q3,June,27.32
Culture,Hotel,Q4,April,29.3
Culture,Hotel,Q2,August,30.45
Production,Concert,Q3,August,30.21
Production,Concert,Q4,September,33.95
Production,Concert,Q2,July,36.12
Production,Concert,Q3,November,39.93
Production,Concert,Q4,October,42.71
Production,Concert,Q2,December,43.92
Production,Concert,Q3,June,44.48
Production,Concert,Q4,April,45.12
Production,Concert,Q2,August,44.41
Residential,Theatre,Q3,August,48.37
Residential,Theatre,Q4,September,50.68
Residential,Theatre,Q2,July,50.54
Residential,Theatre,Q3,November,53.9
Residential,Theatre,Q4,October,54.87
Residential,Theatre,Q2,December,54.51
Residential,Theatre,Q3,June,53.02
Residential,Theatre,Q4,April,59.25
Residential,Theatre,Q2,August,60.84
Culture,Museum,Q3,August,60.88
Culture,Museum,Q4,September,62.9
Culture,Museum,Q2,July,65.64
Culture,Museum,Q3,November,67.29
Culture,Museum,Q4,October,70.66
Culture,Museum,Q2,December,71.98
Culture,Museum,Q3,June,70.07
Culture,Museum,Q4,April,76.61
Culture,Museum,Q2,August,77.43
Production,Factory,Q3,August,77.5
Production,Factory,Q4,September,77.25
Production,Factory,Q2,July,76.07
Production,Factory,Q3,November,79.49
Production,Factory,Q4,October,82.85
Production,Factory,Q2,December,83.35
Production,Factory,Q3,June,87.67
Production,Factory,Q4,April,88.03
Production,Factory,Q2,August,91.92
Residential,Workshop,Q3,August,92.17
Residential,Workshop,Q4,September,92.68
Residential,Workshop,Q2,July,94.64
Residential,Workshop,Q3,November,95.57
Residential,Workshop,Q4,October,95.06
Residential,Workshop,Q2,December,97.75
Residential,Workshop,Q3,June,97.6
Residential,Workshop,Q4,April,98.3
Residential,Workshop,Q2,August,94.67
