Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Culture,Museum,Q1,March,1.77
Culture,Museum,Q4,January,2.57
Culture,Museum,Q2,October,2.67
Culture,Museum,Q1,December,4.09
Culture,Museum,Q4,November,5.96
Culture,Museum,Q2,June,5.35
Culture,Museum,Q1,April,1.76
Culture,Museum,Q4,March,8.39
Culture,Museum,Q2,January,9.42
Service,Theatre,Q1,March,9.96
Service,Theatre,Q4,January,4.29
Service,Theatre,Q2,October,12.76
Service,Theatre,Q1,December,14.63
Service,Theatre,Q4,November,14.84
Service,Theatre,Q2,June,14.65
Service,Theatre,Q1,April,20.2
Service,Theatre,Q4,March,21.32
Service,Theatre,Q2,January,21.7
Residential,Concert,Q1,March,23.49
Residential,Concert,Q4,January,22.5
Residential,Concert,Q2,October,25.77
Residential,Concert,Q1,December,20.69
Residential,Concert,Q4,November,31.37
Residential,Concert,Q2,June,32.51
Residential,Concert,Q1,April,31.33
Residential,Concert,Q4,March,32.4
Residential,Concert,Q2,January,35.26
Culture,Hospital,Q1,March,38.86
Culture,Hospital,Q4,January,40.48
Culture,Hospital,Q2,October,41.38
Culture,Hospital,Q1,December,41.89
Culture,Hospital,Q4,November,43.14
Culture,Hospital,Q2,June,44.34
Culture,Hospital,Q1,April,45.1
Culture,Hospital,Q4,March,46.54
Culture,Hospital,Q2,January,48.99
Service,Library,Q1,March,49.03
Service,Library,Q4,January,49.05
Service,Library,Q2,October,49.32
Service,Library,Q1,December,52.47
Service,Library,Q4,November,53.22
Service,Library,Q2,June,55.76
Service,Library,Q1,April,56.69
Service,Library,Q4,March,56.91
Service,Library,Q2,January,58.28
Residential,School,Q1,March,59.41
Residential,School,Q4,January,62.68
Residential,School,Q2,October,63.33
Residential,School,Q1,December,62.45
Residential,School,Q4,November,65.39
Residential,School,Q2,June,62.89
Residential,School,Q1,April,67.81
Residential,School,Q4,March,68.21
Residential,School,Q2,January,68.95
Culture,Hotel,Q1,March,70.61
Culture,Hotel,Q4,January,72.11
Culture,Hotel,Q2,October,73.86
Culture,Hotel,Q1,December,72.28
Culture,Hotel,Q4,November,78.3
Culture,Hotel,Q2,June,80.91
Culture,Hotel,Q1,April,80.42
Culture,Hotel,Q4,March,84.63
Culture,Hotel,Q2,January,84.31
Service,Apartment,Q1,March,87.92
Service,Apartment,Q4,January,88.72
Service,Apartment,Q2,October,88.9
Service,Apartment,Q1,December,90.17
Service,Apartment,Q4,November,91.9
Service,Apartment,Q2,June,93.83
Service,Apartment,Q1,April,94.0
Service,Apartment,Q4,March,95.69
Service,Apartment,Q2,January,94.79
