Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2018,Temperature,31-40,0.85
2018,Wind,21-30,0.56
2018,Humidity,11-20,2.2
2018,Temperature,Storm,3.98
2018,Wind,Breeze,3.3
2018,Humidity,Calm,5.23
2018,Temperature,High,6.67
2018,Wind,Medium,7.55
2018,Humidity,Low,8.16
2022,Temperature,31-40,8.09
2022,Wind,21-30,10.84
2022,Humidity,11-20,9.94
2022,Temperature,Storm,8.42
2022,Wind,Breeze,4.96
2022,Humidity,Calm,14.37
2022,Temperature,High,14.98
2022,Wind,Medium,16.21
2022,Humidity,Low,17.71
2021,Temperature,31-40,17.84
2021,Wind,21-30,21.59
2021,Humidity,11-20,22.95
2021,Temperature,Storm,23.65
2021,Wind,Breeze,22.38
2021,Humidity,Calm,25.57
2021,Temperature,High,26.54
2021,Wind,Medium,27.94
2021,Humidity,Low,3.48
