Quarter,Month,Production_Administration,Production_Workshop,Service_Factory,Service_Library,State,City
Q1,,65.89,9.48,44.87,83.23,,
,  January,72.80,30.07,50.47,87.94,Maryland,Baltimore
,  March,65.89,9.48,44.87,83.23,Maryland,Baltimore
,  October,78.20,37.33,57.74,94.10,Maryland,Baltimore
Q4,,66.84,21.50,49.40,84.84,,
,  December,76.61,32.08,53.09,88.09,Maryland,Baltimore
,  February,66.84,21.50,49.40,84.84,Maryland,Baltimore
,  November,83.87,42.28,59.52,99.99,Maryland,Baltimore
Minimum,,65.89,9.48,44.87,83.23,,
,  ,65.89,9.48,44.87,83.23,,
