Quarter,Month,Culture_Administration,Culture_Apartment,Culture_Theatre,Residential_Hospital,Residential_House,Residential_Museum,Service_Concert,Service_Hotel,Service_Library
Q2,,39.82,62.50,3.39,53.64,94.13,32.37,17.70,85.48,45.56
,  December,43.59,84.25,15.52,60.02,94.13,37.00,26.25,94.16,51.03
,  May,41.22,68.76,8.29,55.75,98.44,34.79,20.39,90.01,46.93
,  November,39.82,62.50,3.39,53.64,95.09,32.37,17.70,85.48,45.56
Q4,,38.56,62.77,0.71,52.13,95.07,30.47,17.21,84.02,37.55
,  December,38.56,62.77,0.71,52.13,95.07,30.47,17.21,85.55,37.55
,  June,42.88,74.31,14.57,60.20,98.10,36.81,21.81,92.98,44.03
,  October,39.53,65.11,3.09,52.72,97.74,32.71,19.10,84.02,46.77
Minimum,,38.56,62.50,0.71,52.13,94.13,30.47,17.21,84.02,37.55
,  ,38.56,62.50,0.71,52.13,94.13,30.47,17.21,84.02,37.55
