Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Import,2015,Q2,Beverage,Soda,256.55
Import,2015,Q2,Meat,Coffee,22.95
Import,2015,Q2,Dairy,Lamb,537.46
Import,2015,Q2,Beverage,Beef,549.01
Import,2015,Q2,Meat,Yoghurt,39.58
Import,2015,Q2,Dairy,Cheese,554.56
Import,2018,Q2,Beverage,Soda,812.2
Import,2018,Q2,Meat,Coffee,179.08
Import,2018,Q2,Dairy,Lamb,185.98
Import,2018,Q2,Beverage,Beef,955.88
Import,2018,Q2,Meat,Yoghurt,61.58
Import,2018,Q2,Dairy,Cheese,64.8
Import,2015,Q2,Beverage,Soda,837.86
Import,2015,Q2,Meat,Coffee,606.93
Import,2015,Q2,Dairy,Lamb,736.7
Import,2015,Q2,Beverage,Beef,483.38
Import,2015,Q2,Meat,Yoghurt,619.49
Import,2015,Q2,Dairy,Cheese,621.11
Import,2018,Q2,Beverage,Soda,623.12
Import,2018,Q2,Meat,Coffee,751.32
Import,2018,Q2,Dairy,Lamb,373.62
Import,2018,Q2,Beverage,Beef,377.8
Import,2018,Q2,Meat,Yoghurt,891.19
Import,2018,Q2,Dairy,Cheese,638.93
