Quarter,Month,Culture_Administration,Culture_House,Residential_Apartment,Residential_Concert,Service_School,Service_Theatre,State,City
Q2,,59.02,18.04,1.03,47.17,81.69,36.85,,
,  May,59.02,18.04,1.03,47.17,81.90,36.85,Michigan,Detroit
,  October,74.12,35.00,13.56,53.95,98.23,43.91,Michigan,Detroit
,  September,62.71,28.65,5.67,50.64,81.69,41.28,Michigan,Detroit
Q3,,60.61,19.16,3.57,47.46,81.59,39.03,,
,  April,60.61,19.16,3.97,47.46,82.95,39.03,Michigan,Detroit
,  December,62.56,30.26,3.57,50.86,81.59,42.22,Michigan,Detroit
,  May,75.19,35.73,14.75,55.12,99.55,45.07,Michigan,Detroit
Q4,,60.14,27.47,3.74,45.68,83.16,36.77,,
,  April,77.46,36.34,16.38,56.58,99.23,46.52,Michigan,Detroit
,  July,60.14,27.47,3.74,49.09,83.16,36.77,Michigan,Detroit
,  November,69.19,33.63,12.30,45.68,92.43,43.19,Michigan,Detroit
