Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2019,Temperature,0-10,1.98
2019,Humidity,21-30,4.15
2019,Wind,Medium,4.23
2019,Temperature,Low,6.94
2019,Humidity,High,7.3
2019,Wind,Calm,6.51
2019,Temperature,Breeze,6.55
2019,Humidity,Storm,5.58
2019,Wind,0-10,27.12
2022,Temperature,0-10,12.03
2022,Humidity,21-30,11.16
2022,Wind,Medium,15.06
2022,Temperature,Low,15.17
2022,Humidity,High,17.91
2022,Wind,Calm,15.85
2022,Temperature,Breeze,19.15
2022,Humidity,Storm,22.63
2022,Wind,0-10,27.99
