Characteristic,Intensity,2017_Michigan_Flint,2017_Michigan_Portland,2017_Michigan_Salem,2018_Oregon_Detroit,2018_Oregon_Redmond,Maximum
Humidity,0-10,4.83,22.32,26.85,17.97,9.13,26.85
,Breeze,3.48,4.68,23.04,13.86,27.01,27.01
,Medium,1.45,16.77,18.72,11.84,27.58,27.58
Temperature,31-40,6.38,24.84,27.82,17.80,3.13,27.82
,Calm,7.63,19.60,22.48,14.20,9.47,22.48
,Low,4.28,17.49,22.01,13.52,22.44,22.44
Wind,21-30,9.91,3.72,27.81,18.76,10.82,27.81
,High,3.59,16.28,21.82,12.99,21.93,21.93
,Storm,3.47,18.45,22.06,15.76,26.09,26.09
Maximum,,9.91,24.84,27.82,18.76,27.58,27.82
