Quarter,Month,Production_Library,Production_Workshop,Service_Administration,Service_Factory
Q1,,53.58,3.60,70.78,34.05
,  August,60.20,18.67,79.21,39.67
,  February,53.58,3.60,70.78,34.05
,  June,63.90,29.81,91.49,46.39
Q2,,58.45,9.76,76.13,38.22
,  January,58.45,9.76,76.13,38.22
,  May,67.64,33.27,99.32,52.46
,  September,63.63,24.76,84.46,46.16
Q3,,57.66,9.64,75.78,37.11
,  April,64.95,30.24,96.89,49.44
,  July,62.43,23.64,80.74,45.79
,  March,57.66,9.64,75.78,37.11
Minimum,,53.58,3.60,70.78,34.05
,  ,53.58,3.60,70.78,34.05
