Polluted element,Type of pollution,California_Malibu_2020,California_Portland_2020,Illinois_Champaign_2019,Illinois_Los-Angeles_2019,Illinois_Redmond_2019,Oregon_Salem_2021,Oregon_San Francisco_2021,Oregon_Springfield_2021
Air,Chemical,-70.01,63.68,-99.11,-29.60,39.74,14.60,-46.83,92.97
,Groundwater,-65.72,72.56,-92.69,-20.83,42.10,29.38,-42.16,95.15
,Solid Waste,-61.81,79.76,-88.25,-8.04,52.39,35.06,-37.54,99.02
,Thermal,-88.65,58.04,-8.45,-33.43,39.85,1.99,-52.99,88.20
Soil,Inferior Irrigation,-61.78,78.55,-91.61,-12.13,51.75,31.82,-38.84,91.22
,Light,-76.93,63.55,-99.64,-30.96,41.41,12.75,-49.10,91.07
,Noise,-55.23,88.95,-87.58,-1.19,57.02,38.11,-38.82,-0.09
,Oxygen-depletion,-67.73,67.66,-96.00,-21.34,44.40,19.58,-44.41,93.26
Water,Inorganic Fertilizers,-63.68,73.05,-92.89,-14.33,49.34,30.36,-43.72,97.89
,Noise,-79.33,62.60,-1.94,-31.45,40.02,7.19,-50.23,91.50
,Surface water,-69.97,64.78,-98.04,-29.50,40.11,17.35,-44.52,94.42
,Thermal,-59.90,82.11,-87.09,-5.80,53.94,37.51,-38.28,95.78
Average,,-68.40,71.27,-78.61,-19.88,46.01,22.97,-43.95,85.87
