Polluted element,Type of pollution,California_Baltimore_2021,California_Los-Angeles_2019,Maryland_Columbia_2019,Maryland_Flint_2020,Maryland_Malibu_2018,Michigan_Detroit_2021,Michigan_San Francisco_2020
Soil,,-43.68,10.17,13.27,5.89,-65.05,27.09,-31.69
,  Chemical,42.33,73.52,6.03,-17.78,-66.93,-38.26,54.44
,  Solid Waste,-87.03,10.75,19.64,46.02,-65.64,27.05,-76.18
,  Surface water,-86.35,-53.75,14.13,-10.57,-62.56,92.47,-73.32
Water,,-41.93,-9.52,-3.98,-10.56,-43.24,7.50,-51.07
,  Groundwater,43.31,-53.21,5.43,-11.41,-66.84,-37.48,-73.83
,  Inferior Irrigation,-84.81,-53.81,-43.31,-10.33,-0.81,-35.66,-8.38
,  Oxygen-depletion,-84.30,78.46,25.93,-9.94,-62.07,95.64,-71.00
Average,,-42.81,0.33,4.64,-2.34,-54.14,17.29,-41.38
,  ,-42.81,0.33,4.64,-2.34,-54.14,17.29,-41.38
