Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2017,Humidity,Low,1.32
2017,Temperature,Medium,2.84
2017,Wind,High,4.84
2017,Humidity,11-20,5.91
2017,Temperature,31-40,6.91
2017,Wind,0-10,7.05
2017,Humidity,Storm,8.91
2017,Temperature,Breeze,9.24
2017,Wind,Calm,6.17
2015,Humidity,Low,11.3
2015,Temperature,Medium,12.78
2015,Wind,High,13.05
2015,Humidity,11-20,14.21
2015,Temperature,31-40,15.52
2015,Wind,0-10,15.17
2015,Humidity,Storm,17.95
2015,Temperature,Breeze,17.34
2015,Wind,Calm,17.56
2020,Humidity,Low,13.25
2020,Temperature,Medium,20.74
2020,Wind,High,22.12
2020,Humidity,11-20,24.64
2020,Temperature,31-40,25.37
2020,Wind,0-10,26.19
2020,Humidity,Storm,26.12
2020,Temperature,Breeze,27.59
2020,Wind,Calm,10.65
