Polluted element,Type of pollution,Michigan_Hastings,Michigan_Minneapolis,Michigan_Port Huron,Minnesota_Detroit,Minnesota_Rochester
Air,,61.55,-15.81,-42.12,45.68,56.09
,  Industrial,70.98,-4.45,-97.47,51.67,-32.71
,  Inorganic Fertilizers,57.03,-17.21,15.17,46.37,83.53
,  Noise,63.90,-12.01,-99.25,48.07,94.06
,  Solid Waste,54.28,-29.56,13.07,36.62,79.47
Soil,,-5.93,-19.70,-12.46,-55.48,52.91
,  Industrial,54.54,-31.54,11.79,-94.89,70.51
,  Inferior Irrigation,55.73,-22.43,15.62,-91.79,-46.29
,  Light,-64.09,-7.23,-99.44,46.92,95.33
,  Thermal,-69.89,-17.58,22.20,-82.16,92.09
