Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2015,Nevada,Reno,Wind,Storm,0.33
2015,Nevada,Reno,Temperature,Calm,1.71
2015,Nevada,Reno,Humidity,11-20,3.31
2015,Nevada,Reno,Wind,21-30,3.47
2015,Nevada,Reno,Temperature,Medium,5.42
2015,Nevada,Reno,Humidity,High,6.28
2018,Oregon,Las Vegas,Wind,Storm,7.6
2018,Oregon,Las Vegas,Temperature,Calm,7.57
2018,Oregon,Las Vegas,Humidity,11-20,8.49
2018,Oregon,Las Vegas,Wind,21-30,10.21
2018,Oregon,Las Vegas,Temperature,Medium,11.81
2018,Oregon,Las Vegas,Humidity,High,5.2
2015,Nevada,Boulder City,Wind,Storm,13.52
2015,Nevada,Boulder City,Temperature,Calm,14.25
2015,Nevada,Boulder City,Humidity,11-20,3.84
2015,Nevada,Boulder City,Wind,21-30,16.18
2015,Nevada,Boulder City,Temperature,Medium,17.59
2015,Nevada,Boulder City,Humidity,High,18.37
2018,Oregon,Salem,Wind,Storm,19.37
2018,Oregon,Salem,Temperature,Calm,19.83
2018,Oregon,Salem,Humidity,11-20,21.6
2018,Oregon,Salem,Wind,21-30,18.2
2018,Oregon,Salem,Temperature,Medium,21.51
2018,Oregon,Salem,Humidity,High,24.34
2015,Nevada,Portland,Wind,Storm,24.46
2015,Nevada,Portland,Temperature,Calm,26.13
2015,Nevada,Portland,Humidity,11-20,27.84
2015,Nevada,Portland,Wind,21-30,27.91
2015,Nevada,Portland,Temperature,Medium,27.45
2015,Nevada,Portland,Humidity,High,25.19
2018,Oregon,Redmond,Wind,Storm,24.66
2018,Oregon,Redmond,Temperature,Calm,25.78
2018,Oregon,Redmond,Humidity,11-20,6.49
2018,Oregon,Redmond,Wind,21-30,11.5
2018,Oregon,Redmond,Temperature,Medium,19.98
2018,Oregon,Redmond,Humidity,High,22.01
