Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2021,Nevada,Las Vegas,Humidity,High,0.59
2021,Nevada,Las Vegas,Temperature,Medium,0.25
2021,Nevada,Las Vegas,Wind,Low,2.7
2021,Nevada,Las Vegas,Humidity,21-30,3.71
2021,Nevada,Las Vegas,Temperature,31-40,4.16
2021,Nevada,Las Vegas,Wind,Storm,4.19
2021,Nevada,Las Vegas,Humidity,Calm,6.37
2021,Nevada,Las Vegas,Temperature,High,6.0
2021,Nevada,Las Vegas,Wind,Medium,7.17
2020,Georgia,Boulder City,Humidity,High,9.17
2020,Georgia,Boulder City,Temperature,Medium,10.99
2020,Georgia,Boulder City,Wind,Low,11.59
2020,Georgia,Boulder City,Humidity,21-30,12.05
2020,Georgia,Boulder City,Temperature,31-40,13.87
2020,Georgia,Boulder City,Wind,Storm,14.82
2020,Georgia,Boulder City,Humidity,Calm,15.29
2020,Georgia,Boulder City,Temperature,High,14.49
2020,Georgia,Boulder City,Wind,Medium,17.62
2018,Oregon,Washington,Humidity,High,15.72
2018,Oregon,Washington,Temperature,Medium,19.65
2018,Oregon,Washington,Wind,Low,20.14
2018,Oregon,Washington,Humidity,21-30,19.8
2018,Oregon,Washington,Temperature,31-40,22.19
2018,Oregon,Washington,Wind,Storm,21.56
2018,Oregon,Washington,Humidity,Calm,24.09
2018,Oregon,Washington,Temperature,High,25.51
2018,Oregon,Washington,Wind,Medium,26.46
2021,Nevada,Albany,Humidity,High,27.46
2021,Nevada,Albany,Temperature,Medium,27.17
2021,Nevada,Albany,Wind,Low,27.66
2021,Nevada,Albany,Humidity,21-30,24.92
2021,Nevada,Albany,Temperature,31-40,24.29
2021,Nevada,Albany,Wind,Storm,27.34
2021,Nevada,Albany,Humidity,Calm,25.03
2021,Nevada,Albany,Temperature,High,25.88
2021,Nevada,Albany,Wind,Medium,9.32
2020,Georgia,Redmond,Humidity,High,10.46
2020,Georgia,Redmond,Temperature,Medium,4.1
2020,Georgia,Redmond,Wind,Low,12.78
2020,Georgia,Redmond,Humidity,21-30,13.58
2020,Georgia,Redmond,Temperature,31-40,13.83
2020,Georgia,Redmond,Wind,Storm,13.32
2020,Georgia,Redmond,Humidity,Calm,15.31
2020,Georgia,Redmond,Temperature,High,16.98
2020,Georgia,Redmond,Wind,Medium,4.53
2018,Oregon,Portland,Humidity,High,19.62
2018,Oregon,Portland,Temperature,Medium,19.34
2018,Oregon,Portland,Wind,Low,20.88
2018,Oregon,Portland,Humidity,21-30,20.21
2018,Oregon,Portland,Temperature,31-40,21.13
2018,Oregon,Portland,Wind,Storm,21.01
2018,Oregon,Portland,Humidity,Calm,21.84
2018,Oregon,Portland,Temperature,High,22.68
2018,Oregon,Portland,Wind,Medium,23.2
