Characteristic,Intensity,2015_Nevada_Boulder City,2015_Nevada_Portland,2015_Nevada_Reno,2018_Oregon_Las Vegas,2018_Oregon_Redmond,2018_Oregon_Salem
Maximum,,18.37,27.91,6.28,11.81,25.78,24.34
,  ,18.37,27.91,6.28,11.81,25.78,24.34
Humidity,,18.37,27.84,6.28,8.49,22.01,24.34
,  11-20,3.84,27.84,3.31,8.49,6.49,21.60
,  High,18.37,25.19,6.28,5.20,22.01,24.34
Temperature,,17.59,27.45,5.42,11.81,25.78,21.51
,  Calm,14.25,26.13,1.71,7.57,25.78,19.83
,  Medium,17.59,27.45,5.42,11.81,19.98,21.51
Wind,,16.18,27.91,3.47,10.21,24.66,19.37
,  21-30,16.18,27.91,3.47,10.21,11.50,18.20
,  Storm,13.52,24.46,0.33,7.60,24.66,19.37
