Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2015,Humidity,Low,2.54
2015,Temperature,High,3.11
2015,Wind,0-10,4.79
2015,Humidity,21-30,3.13
2015,Temperature,31-40,2.29
2015,Wind,Breeze,8.89
2015,Humidity,Storm,9.17
2015,Temperature,Calm,11.06
2015,Wind,Low,12.11
2020,Humidity,Low,12.12
2020,Temperature,High,13.1
2020,Wind,0-10,16.49
2020,Humidity,21-30,17.79
2020,Temperature,31-40,17.3
2020,Wind,Breeze,19.07
2020,Humidity,Storm,20.25
2020,Temperature,Calm,21.79
2020,Wind,Low,20.19
2016,Humidity,Low,20.54
2016,Temperature,High,22.45
2016,Wind,0-10,20.77
2016,Humidity,21-30,26.67
2016,Temperature,31-40,27.82
2016,Wind,Breeze,27.61
2016,Humidity,Storm,26.24
2016,Temperature,Calm,26.23
2016,Wind,Low,16.29
