Quarter,Month,Culture_Administration,Culture_Theatre,Service_Concert,Service_Library,Service_School
Minimum,,14.72,0.23,71.83,0.68,36.71
,  ,14.72,0.23,71.83,0.68,36.71
Q2,,21.32,61.87,72.42,2.39,39.23
,  August,25.49,62.93,77.72,7.26,53.56
,  December,21.32,61.87,72.42,2.39,39.23
,  October,33.85,69.91,97.52,7.28,57.41
Q3,,23.42,62.67,72.70,2.02,42.69
,  December,36.13,69.20,98.24,14.39,60.07
,  June,23.42,62.67,72.70,2.02,42.69
,  September,27.47,66.15,87.64,7.43,53.97
Q4,,14.72,0.23,71.83,0.68,36.71
,  July,31.04,66.44,88.45,8.60,54.94
,  May,25.77,0.23,75.95,4.55,50.76
,  October,14.72,61.63,71.83,0.68,36.71
