Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Factory,Q2,June,0.2
Production,Factory,Q3,May,3.8
Production,Factory,Q2,April,6.27
Production,Factory,Q3,July,10.09
Production,Factory,Q2,August,13.3
Production,Factory,Q3,September,16.45
Culture,Workshop,Q2,June,19.9
Culture,Workshop,Q3,May,22.28
Culture,Workshop,Q2,April,23.01
Culture,Workshop,Q3,July,24.43
Culture,Workshop,Q2,August,25.72
Culture,Workshop,Q3,September,27.72
Residential,Concert,Q2,June,27.37
Residential,Concert,Q3,May,30.25
Residential,Concert,Q2,April,32.49
Residential,Concert,Q3,July,38.55
Residential,Concert,Q2,August,39.13
Residential,Concert,Q3,September,39.41
Production,Museum,Q2,June,38.85
Production,Museum,Q3,May,43.58
Production,Museum,Q2,April,43.91
Production,Museum,Q3,July,47.55
Production,Museum,Q2,August,51.92
Production,Museum,Q3,September,52.99
Culture,Theatre,Q2,June,56.42
Culture,Theatre,Q3,May,56.54
Culture,Theatre,Q2,April,58.2
Culture,Theatre,Q3,July,58.82
Culture,Theatre,Q2,August,58.21
Culture,Theatre,Q3,September,58.62
Residential,House,Q2,June,57.91
Residential,House,Q3,May,59.93
Residential,House,Q2,April,64.54
Residential,House,Q3,July,59.17
Residential,House,Q2,August,61.55
Residential,House,Q3,September,70.4
Production,Apartment,Q2,June,75.54
Production,Apartment,Q3,May,77.12
Production,Apartment,Q2,April,85.0
Production,Apartment,Q3,July,86.11
Production,Apartment,Q2,August,88.57
Production,Apartment,Q3,September,89.79
Culture,Hotel,Q2,June,90.6
Culture,Hotel,Q3,May,90.23
Culture,Hotel,Q2,April,92.24
Culture,Hotel,Q3,July,95.65
Culture,Hotel,Q2,August,97.37
Culture,Hotel,Q3,September,98.48
