State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
California,Los-Angeles,Water,Surface water,4.75
California,Los-Angeles,Air,Chemical,8.42
California,Los-Angeles,Soil,Groundwater,8.69
California,Los-Angeles,Water,Oxygen-depletion,14.8
California,Los-Angeles,Air,Thermal,24.47
California,Los-Angeles,Soil,Noise,25.37
California,Los-Angeles,Water,Light,26.92
California,Los-Angeles,Air,Inferior Irrigation,30.95
California,Los-Angeles,Soil,Solid Waste,-96.46
California,Los-Angeles,Water,Inorganic Fertilizers,-94.1
California,Los-Angeles,Air,Industrial,36.9
California,Los-Angeles,Soil,Surface water,-92.79
Oregon,Berkeley,Water,Surface water,39.85
Oregon,Berkeley,Air,Chemical,41.89
Oregon,Berkeley,Soil,Groundwater,-85.07
Oregon,Berkeley,Water,Oxygen-depletion,-3.29
Oregon,Berkeley,Air,Thermal,55.19
Oregon,Berkeley,Soil,Noise,56.03
Oregon,Berkeley,Water,Light,-71.35
Oregon,Berkeley,Air,Inferior Irrigation,-70.99
Oregon,Berkeley,Soil,Solid Waste,56.69
Oregon,Berkeley,Water,Inorganic Fertilizers,-68.95
Oregon,Berkeley,Air,Industrial,-64.04
Oregon,Berkeley,Soil,Surface water,-62.28
California,Salem,Water,Surface water,-57.49
California,Salem,Air,Chemical,-53.62
California,Salem,Soil,Groundwater,76.93
California,Salem,Water,Oxygen-depletion,-50.71
California,Salem,Air,Thermal,-49.78
California,Salem,Soil,Noise,78.79
California,Salem,Water,Light,81.55
California,Salem,Air,Inferior Irrigation,81.01
California,Salem,Soil,Solid Waste,-46.84
California,Salem,Water,Inorganic Fertilizers,85.39
California,Salem,Air,Industrial,-41.52
California,Salem,Soil,Surface water,-8.69
Oregon,Redmond,Water,Surface water,-39.2
Oregon,Redmond,Air,Chemical,91.96
Oregon,Redmond,Soil,Groundwater,96.14
Oregon,Redmond,Water,Oxygen-depletion,97.64
Oregon,Redmond,Air,Thermal,-29.34
Oregon,Redmond,Soil,Noise,-26.45
Oregon,Redmond,Water,Light,-23.87
Oregon,Redmond,Air,Inferior Irrigation,-10.51
Oregon,Redmond,Soil,Solid Waste,-10.86
Oregon,Redmond,Water,Inorganic Fertilizers,-8.92
Oregon,Redmond,Air,Industrial,-3.67
Oregon,Redmond,Soil,Surface water,-2.86
