Polluted element,Type of pollution,Florida_Detroit_2020,Florida_Portland_2019,Florida_Tampa_2022,Michigan_Flint_2015,Michigan_Salem_2020,Oregon_Fort Lauderdale_2015,Oregon_Port Huron_2019,Oregon_Redmond_2022
Average,,-45.25,75.89,11.50,-65.80,47.50,33.16,-16.69,-19.02
,  ,-45.25,75.89,11.50,-65.80,47.50,33.16,-16.69,-19.02
Air,,-47.13,73.57,9.05,-68.41,43.73,32.20,-18.40,2.45
,  Chemical,-49.74,70.18,6.24,-68.96,35.78,31.62,-24.28,97.01
,  Noise,-45.27,74.07,9.23,-72.49,47.27,31.14,-18.58,4.70
,  Oxygen-depletion,-46.40,76.46,11.68,-63.77,48.15,33.82,-12.33,-94.38
Soil,,-43.70,78.09,13.70,-63.23,51.61,34.22,-14.20,-29.72
,  Light,-41.67,81.41,14.43,-63.75,50.69,34.44,-14.68,4.93
,  Surface water,-48.69,74.97,11.72,-64.01,46.18,32.04,-19.93,-1.55
,  Urban Activities,-40.73,77.89,14.94,-61.93,57.95,36.19,-7.99,-92.54
Water,,-44.93,76.00,11.77,-65.77,47.15,33.06,-17.48,-29.80
,  Groundwater,-48.16,71.26,9.80,-65.26,40.90,32.17,-23.70,-0.10
,  Industrial,-42.37,77.82,13.13,-62.59,49.90,35.48,-10.75,-93.90
,  Thermal,-44.25,78.93,12.36,-69.45,50.66,31.52,-17.99,4.60
