Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2022,Wind,Calm,0.19
2022,Temperature,Storm,1.52
2022,Wind,21-30,2.34
2022,Temperature,11-20,3.43
2022,Wind,31-40,5.02
2022,Temperature,Calm,6.85
2019,Wind,Calm,11.25
2019,Temperature,Storm,12.68
2019,Wind,21-30,13.52
2019,Temperature,11-20,11.5
2019,Wind,31-40,13.06
2019,Temperature,Calm,17.09
2018,Wind,Calm,18.78
2018,Temperature,Storm,18.65
2018,Wind,21-30,20.62
2018,Temperature,11-20,19.71
2018,Wind,31-40,22.31
2018,Temperature,Calm,20.19
