Polluted element,Type of pollution,California_Fort Lauderdale_2019,California_Rochester_2019,Florida_Los-Angeles_2022,Florida_Tampa_2022,Minnesota_Hastings_2021,Minnesota_San Francisco_2021
Air,,44.50,-22.24,-5.17,-15.71,18.91,43.34
,  Noise,-31.39,46.89,63.63,-12.24,26.06,79.67
,  Solid Waste,88.82,38.37,56.16,-21.39,9.09,73.04
,  Thermal,91.42,-86.87,-72.11,-15.36,24.64,-53.43
,  Urban Activities,29.14,-87.34,-68.37,-13.84,15.86,74.09
Soil,,26.52,-56.03,-53.76,-19.04,16.48,-6.92
,  Industrial,-41.20,-91.05,-72.77,-26.54,6.46,68.34
,  Inferior Irrigation,-37.50,40.57,-71.32,-19.69,19.76,-54.12
,  Inorganic Fertilizers,91.41,-89.72,-4.96,-15.51,15.18,10.37
,  Light,93.38,-83.92,-65.98,-14.40,24.52,-52.27
Average,,35.51,-39.13,-29.46,-17.37,17.70,18.21
,  ,35.51,-39.13,-29.46,-17.37,17.70,18.21
