Polluted element,Type of pollution,Georgia_Columbus_2015,Georgia_Reno_2015,Georgia_Washington_2015,Nevada_Albany_2022,Nevada_Boulder City_2022,Nevada_Las Vegas_2022,Average
Air,,59.39,25.67,-43.80,-54.03,11.34,-57.57,-9.83
,  Chemical,64.87,-32.55,-95.09,-77.57,-7.18,-47.58,-32.52
,  Groundwater,59.06,90.76,-99.24,44.49,-13.18,-55.52,4.39
,  Light,62.42,87.88,11.89,-89.58,96.97,-65.71,17.31
,  Solid Waste,51.20,-43.42,7.26,-93.47,-31.25,-61.48,-28.53
Soil,,-6.28,56.86,-17.35,8.92,10.03,-26.14,4.34
,  Inferior Irrigation,56.04,87.16,10.26,-89.60,-30.68,-61.38,-4.70
,  Oxygen-depletion,-65.79,-33.92,-95.42,45.99,-10.40,-48.80,-34.72
,  Thermal,60.26,90.58,12.42,42.57,-17.69,68.14,42.71
,  Urban Activities,-75.61,83.62,3.33,36.71,98.87,-62.52,14.07
Water,,27.52,59.17,-11.06,-86.15,-18.37,41.54,2.11
,  Inorganic Fertilizers,52.23,86.44,7.22,-90.07,-29.60,-65.81,-6.60
,  Noise,59.61,88.22,12.79,-94.63,-29.18,71.45,18.04
,  Surface water,-66.50,-35.12,-99.31,-83.82,-13.61,79.39,-36.50
,  Urban Activities,64.72,97.16,35.06,-76.07,-1.10,81.12,33.48
