Polluted element,Type of pollution,Florida_Las Vegas_2019,Florida_Redmond_2019,Nevada_Fort Lauderdale_2016,Nevada_Reno_2016,Oregon_Boulder City_2018,Oregon_Portland_2018,Oregon_Tampa_2018
Air,,-60.66,63.76,91.13,-42.16,-16.86,15.10,-82.31
,  Oxygen-depletion,-60.45,68.06,93.41,-40.83,-14.16,15.46,-77.18
,  Solid Waste,-52.02,77.80,97.17,-36.00,-5.49,29.09,-72.43
,  Surface water,-64.02,62.53,88.14,-44.28,-17.36,11.68,-81.67
,  Thermal,-66.16,46.65,85.80,-47.55,-30.45,4.19,-97.95
Soil,,-58.03,71.15,43.97,-40.05,-11.35,21.51,-75.88
,  Groundwater,-61.88,67.21,90.91,-40.50,-14.52,16.26,-78.39
,  Inorganic Fertilizers,-54.16,74.85,96.60,-36.59,-7.26,18.23,-74.63
,  Light,-67.57,60.05,86.79,-45.35,-19.66,10.50,-83.30
,  Noise,-48.51,82.50,-98.44,-37.74,-3.95,41.03,-67.18
Water,,-59.51,67.34,42.88,-40.66,-15.13,20.19,-81.56
,  Chemical,-62.47,66.22,90.72,-44.10,-16.44,15.80,-81.36
,  Industrial,-57.54,72.90,94.04,-37.49,-11.59,18.18,-75.35
,  Noise,-66.90,52.62,86.20,-46.94,-28.09,7.87,-98.71
,  Thermal,-51.13,77.62,-99.43,-34.13,-4.38,38.91,-70.81
