Polluted element,Type of pollution,Florida_Fort Lauderdale_2015,Florida_Portland_2015,Georgia_Salem_2019,Georgia_Washington_2019,Oregon_Columbus_2020,Oregon_Tampa_2020
Soil,,12.73,13.30,60.47,-22.33,60.11,-89.47
,  Groundwater,15.76,-49.23,63.84,-20.91,92.17,-88.74
,  Inferior Irrigation,2.95,-58.11,54.97,-28.50,88.27,-96.06
,  Oxygen-depletion,23.72,86.91,67.96,-14.38,98.18,-81.50
,  Urban Activities,8.48,73.64,55.12,-25.53,-38.18,-91.57
Water,,15.81,14.52,-2.44,-19.20,28.99,9.67
,  Chemical,26.36,87.45,68.18,-11.76,-29.38,53.91
,  Industrial,10.85,78.87,-67.65,-22.33,92.86,-89.97
,  Inorganic Fertilizers,2.37,-58.25,55.68,-26.49,86.08,35.01
,  Surface water,23.67,-49.99,-65.97,-16.23,-33.60,39.75
