Polluted element,Type of pollution,Florida_Boston_2018,Florida_Tampa_2015,Massachusetts_Fort Lauderdale_2018,Massachusetts_Lenox_2018,Massachusetts_Portland_2015,Oregon_Cambridge_2015,Oregon_Salem_2018,Average
Air,Chemical,66.34,-39.18,-13.91,6.02,-99.30,35.00,-73.29,-16.90
,Light,62.82,-51.49,-21.55,3.84,95.35,25.57,-83.36,4.45
,Noise,82.89,-24.00,-4.40,20.83,-91.03,58.31,-57.48,-2.13
,Solid Waste,74.13,-27.99,-10.73,15.36,-94.77,50.70,-64.55,-8.26
Soil,Chemical,86.57,-22.58,-1.26,18.93,-85.87,61.63,-53.26,0.59
,Groundwater,71.50,-33.75,-13.57,15.32,-95.51,38.18,-66.13,-11.99
,Light,80.81,-25.24,-8.41,18.34,-92.98,52.27,-57.06,-4.61
,Surface water,66.89,-41.23,-19.03,6.81,0.38,27.02,-76.21,-5.05
Water,Inorganic Fertilizers,78.24,-26.43,-9.61,18.96,-96.60,51.45,-60.08,-6.30
,Noise,63.91,-41.42,-20.91,5.37,98.59,26.69,-76.39,7.98
,Oxygen-depletion,70.30,-39.91,-13.40,6.44,-96.94,36.38,-70.13,-15.32
,Surface water,84.99,-24.79,-3.34,21.71,-88.68,60.58,-55.31,-0.69
Average,,74.12,-33.17,-11.68,13.16,-53.95,43.65,-66.10,-4.85
