Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2015,Massachusetts,Cambridge,Temperature,0-10,1.36
2015,Massachusetts,Cambridge,Wind,21-30,2.04
2015,Massachusetts,Cambridge,Humidity,Breeze,2.72
2015,Massachusetts,Cambridge,Temperature,Storm,3.27
2015,Massachusetts,Cambridge,Wind,Calm,2.91
2015,Massachusetts,Cambridge,Humidity,Medium,6.37
2015,Massachusetts,Cambridge,Temperature,Low,7.76
2015,Massachusetts,Cambridge,Wind,High,7.75
2015,Massachusetts,Cambridge,Humidity,0-10,7.17
2021,Michigan,Lenox,Temperature,0-10,9.29
2021,Michigan,Lenox,Wind,21-30,11.15
2021,Michigan,Lenox,Humidity,Breeze,11.75
2021,Michigan,Lenox,Temperature,Storm,12.85
2021,Michigan,Lenox,Wind,Calm,11.18
2021,Michigan,Lenox,Humidity,Medium,15.26
2021,Michigan,Lenox,Temperature,Low,13.54
2021,Michigan,Lenox,Wind,High,16.99
2021,Michigan,Lenox,Humidity,0-10,18.13
2016,Massachusetts,Detroit,Temperature,0-10,12.5
2016,Massachusetts,Detroit,Wind,21-30,20.89
2016,Massachusetts,Detroit,Humidity,Breeze,21.27
2016,Massachusetts,Detroit,Temperature,Storm,22.08
2016,Massachusetts,Detroit,Wind,Calm,23.88
2016,Massachusetts,Detroit,Humidity,Medium,23.25
2016,Massachusetts,Detroit,Temperature,Low,25.68
2016,Massachusetts,Detroit,Wind,High,26.95
2016,Massachusetts,Detroit,Humidity,0-10,18.54
2015,Michigan,Port Huron,Temperature,0-10,24.37
2015,Michigan,Port Huron,Wind,21-30,21.05
2015,Michigan,Port Huron,Humidity,Breeze,24.23
2015,Michigan,Port Huron,Temperature,Storm,5.1
2015,Michigan,Port Huron,Wind,Calm,24.3
2015,Michigan,Port Huron,Humidity,Medium,9.76
2015,Michigan,Port Huron,Temperature,Low,11.4
2015,Michigan,Port Huron,Wind,High,12.11
2015,Michigan,Port Huron,Humidity,0-10,14.09
2021,Massachusetts,Flint,Temperature,0-10,15.44
2021,Massachusetts,Flint,Wind,21-30,15.0
2021,Massachusetts,Flint,Humidity,Breeze,2.51
2021,Massachusetts,Flint,Temperature,Storm,16.25
2021,Massachusetts,Flint,Wind,Calm,17.26
2021,Massachusetts,Flint,Humidity,Medium,5.89
2021,Massachusetts,Flint,Temperature,Low,6.12
2021,Massachusetts,Flint,Wind,High,20.46
2021,Massachusetts,Flint,Humidity,0-10,21.26
