Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Hospital,Q1,February,3.76
Service,Hospital,Q3,March,3.37
Service,Hospital,Q2,January,9.08
Service,Hospital,Q1,July,11.73
Service,Hospital,Q3,September,12.57
Service,Hospital,Q2,May,15.66
Service,Hospital,Q1,June,17.22
Service,Hospital,Q3,February,18.96
Service,Hospital,Q2,March,23.72
Production,Administration,Q1,February,26.33
Production,Administration,Q3,March,29.57
Production,Administration,Q2,January,30.24
Production,Administration,Q1,July,31.72
Production,Administration,Q3,September,31.33
Production,Administration,Q2,May,39.32
Production,Administration,Q1,June,43.37
Production,Administration,Q3,February,43.6
Production,Administration,Q2,March,50.24
Service,Workshop,Q1,February,53.48
Service,Workshop,Q3,March,54.34
Service,Workshop,Q2,January,55.71
Service,Workshop,Q1,July,56.37
Service,Workshop,Q3,September,58.41
Service,Workshop,Q2,May,59.26
Service,Workshop,Q1,June,62.7
Service,Workshop,Q3,February,65.63
Service,Workshop,Q2,March,72.2
Production,Factory,Q1,February,73.04
Production,Factory,Q3,March,74.13
Production,Factory,Q2,January,77.65
Production,Factory,Q1,July,88.66
Production,Factory,Q3,September,90.52
Production,Factory,Q2,May,94.23
Production,Factory,Q1,June,95.07
Production,Factory,Q3,February,98.99
Production,Factory,Q2,March,98.1
