Characteristic,Intensity,2015_Florida_Boston,2015_Florida_Tampa,2021_Massachusetts_Cambridge,2021_Massachusetts_Fort Lauderdale,2021_Massachusetts_Lenox,Maximum
Humidity,,15.84,27.97,6.73,16.21,21.06,27.97
,  11-20,10.87,26.81,3.81,14.04,21.06,26.81
,  Calm,15.84,24.20,6.73,16.21,19.39,24.20
,  Low,7.24,27.97,0.31,9.07,18.08,27.97
Temperature,,15.10,26.94,7.07,15.73,20.18,26.94
,  0-10,12.60,6.93,4.31,15.73,20.18,20.18
,  High,10.39,21.87,1.61,10.76,18.52,21.87
,  Low,15.10,26.94,7.07,5.71,18.90,26.94
Wind,,13.18,26.58,8.09,13.99,26.54,26.58
,  31-40,11.32,25.14,2.35,13.99,20.90,25.14
,  Breeze,13.18,24.04,5.03,3.55,23.33,24.04
,  High,13.05,26.58,8.09,2.89,26.54,26.58
Maximum,,15.84,27.97,8.09,16.21,26.54,27.97
,  ,15.84,27.97,8.09,16.21,26.54,27.97
