Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2015,Q2,Traffic,Slight,64.32
Female,2015,Q2,Drowning,Fatal,67.15
Female,2015,Q2,Fire,Slight,90.51
Female,2022,Q3,Traffic,Slight,39.88
Female,2022,Q3,Drowning,Fatal,71.5
Female,2022,Q3,Fire,Slight,73.31
Female,2018,Q2,Traffic,Slight,74.85
Female,2018,Q2,Drowning,Fatal,11.58
Female,2018,Q2,Fire,Slight,13.33
Female,2015,Q3,Traffic,Slight,45.42
Female,2015,Q3,Drowning,Fatal,16.85
Female,2015,Q3,Fire,Slight,50.98
Female,2022,Q2,Traffic,Slight,21.16
Female,2022,Q2,Drowning,Fatal,21.84
Female,2022,Q2,Fire,Slight,58.56
Female,2018,Q3,Traffic,Slight,29.63
Female,2018,Q3,Drowning,Fatal,95.04
Female,2018,Q3,Fire,Slight,31.52
