Polluted element,Type of pollution,Illinois_Port Huron_2017,Illinois_Portland_2022,Michigan_Champaign_2019,Michigan_Flint_2022,Oregon_Redmond_2017,Oregon_Springfield_2015
Air,Industrial,43.45,94.07,72.75,23.78,-17.94,-71.83
,Noise,28.10,-51.97,-65.83,0.74,97.39,46.00
,Oxygen-depletion,-88.24,-39.50,69.27,15.87,-19.04,-79.71
,Surface water,-94.90,82.63,63.36,2.74,-24.01,49.25
Soil,Chemical,35.29,-43.35,-62.00,11.24,-19.07,51.77
,Inorganic Fertilizers,-86.57,93.31,69.14,20.81,-16.79,55.62
,Light,-95.32,80.52,0.10,0.72,-26.95,-86.51
,Thermal,40.60,96.07,-53.40,26.21,-5.09,-67.27
Water,Groundwater,35.55,-44.63,-63.01,3.68,-23.70,-78.82
,Noise,41.93,95.98,70.16,25.61,-11.34,57.44
,Thermal,30.82,80.24,-65.47,0.00,-29.43,-82.56
,Urban Activities,41.39,-36.11,70.84,15.10,-17.03,49.66
Average,,-5.66,33.94,8.83,12.21,-9.42,-13.08
