Quarter,Month,Production_House,Production_School,Production_Workshop,Residential_Factory,Residential_Library,Service_Apartment,Service_Hospital
Minimum,,34.90,84.98,2.61,9.93,0.09,26.37,75.10
,  ,34.90,84.98,2.61,9.93,0.09,26.37,75.10
Q1,,34.90,85.70,3.00,11.95,0.09,27.57,79.46
,  April,34.90,85.70,3.00,11.95,59.58,27.57,79.46
,  March,52.20,89.43,7.79,15.84,0.09,35.59,81.19
,  May,55.02,93.01,7.85,20.93,65.22,37.47,81.70
Q2,,38.26,84.98,2.61,9.93,58.47,26.37,75.10
,  February,55.33,92.11,8.85,17.68,65.97,36.23,82.16
,  June,49.47,86.67,4.52,14.99,61.10,34.29,80.71
,  May,38.26,84.98,2.61,9.93,58.47,26.37,75.10
