Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Factory,Q4,November,1.84
Production,Factory,Q1,October,3.62
Production,Factory,Q4,December,4.32
Production,Factory,Q1,January,6.03
Production,Factory,Q4,March,6.0
Production,Factory,Q1,November,8.47
Service,Workshop,Q4,November,12.47
Service,Workshop,Q1,October,15.49
Service,Workshop,Q4,December,16.96
Service,Workshop,Q1,January,16.93
Service,Workshop,Q4,March,17.54
Service,Workshop,Q1,November,19.22
Residential,Administration,Q4,November,22.56
Residential,Administration,Q1,October,24.32
Residential,Administration,Q4,December,25.22
Residential,Administration,Q1,January,25.9
Residential,Administration,Q4,March,29.17
Residential,Administration,Q1,November,31.76
Production,Library,Q4,November,31.78
Production,Library,Q1,October,34.95
Production,Library,Q4,December,34.13
Production,Library,Q1,January,37.94
Production,Library,Q4,March,40.84
Production,Library,Q1,November,45.08
Service,Hotel,Q4,November,48.55
Service,Hotel,Q1,October,50.48
Service,Hotel,Q4,December,53.46
Service,Hotel,Q1,January,57.91
Service,Hotel,Q4,March,63.89
Service,Hotel,Q1,November,67.0
Residential,House,Q4,November,68.41
Residential,House,Q1,October,67.56
Residential,House,Q4,December,75.86
Residential,House,Q1,January,77.64
Residential,House,Q4,March,82.55
Residential,House,Q1,November,83.03
Production,Apartment,Q4,November,84.1
Production,Apartment,Q1,October,85.33
Production,Apartment,Q4,December,90.67
Production,Apartment,Q1,January,91.74
Production,Apartment,Q4,March,91.46
Production,Apartment,Q1,November,97.56
