Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2022,Q4,Traffic,Slight,34.69
Female,2022,Q4,Fire,Fatal,99.78
Female,2022,Q4,Drowning,Slight,99.68
Female,2017,Q4,Traffic,Slight,38.64
Female,2017,Q4,Fire,Fatal,75.65
Female,2017,Q4,Drowning,Slight,46.16
Female,2019,Q4,Traffic,Slight,79.36
Female,2019,Q4,Fire,Fatal,48.71
Female,2019,Q4,Drowning,Slight,16.16
Female,2022,Q4,Traffic,Slight,52.57
Female,2022,Q4,Fire,Fatal,84.69
Female,2022,Q4,Drowning,Slight,90.77
Female,2017,Q4,Traffic,Slight,59.73
Female,2017,Q4,Fire,Fatal,60.97
Female,2017,Q4,Drowning,Slight,31.45
