Characteristic,Intensity,2015_Maryland_Las Vegas,2015_Massachusetts_Cambridge,2015_Massachusetts_Reno,2015_Nevada_Aberdeen,2016_Maryland_Lenox,2016_Massachusetts_Baltimore,2016_Nevada_Boulder City
Maximum,,27.36,2.54,21.56,14.32,9.99,22.51,26.48
,  ,27.36,2.54,21.56,14.32,9.99,22.51,26.48
Humidity,,27.36,2.54,7.55,12.91,9.01,22.37,11.57
,  0-10,25.83,1.41,6.28,12.91,7.76,18.84,8.57
,  High,5.73,2.54,3.73,8.31,8.68,22.37,1.46
,  Low,27.36,1.06,7.55,8.61,9.01,19.75,11.57
Temperature,,24.98,2.40,21.56,14.32,9.99,22.51,26.48
,  21-30,24.56,0.72,18.22,12.38,1.24,18.67,26.48
,  31-40,24.98,2.40,7.79,14.32,2.25,19.74,11.46
,  Medium,21.92,1.47,21.56,14.06,9.99,22.51,0.10
