Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2016,Illinois,Chicago,Wind,Breeze,0.87
2016,Illinois,Chicago,Temperature,Calm,1.27
2016,Illinois,Chicago,Humidity,Storm,2.95
2016,Illinois,Chicago,Wind,11-20,2.8
2016,Illinois,Chicago,Temperature,21-30,2.05
2016,Illinois,Chicago,Humidity,0-10,1.77
2016,Illinois,Chicago,Wind,Low,1.76
2016,Illinois,Chicago,Temperature,High,7.76
2016,Illinois,Chicago,Humidity,Medium,9.23
2015,Oregon,Springfield,Wind,Breeze,9.35
2015,Oregon,Springfield,Temperature,Calm,10.63
2015,Oregon,Springfield,Humidity,Storm,12.65
2015,Oregon,Springfield,Wind,11-20,13.35
2015,Oregon,Springfield,Temperature,21-30,14.33
2015,Oregon,Springfield,Humidity,0-10,14.99
2015,Oregon,Springfield,Wind,Low,16.62
2015,Oregon,Springfield,Temperature,High,17.4
2015,Oregon,Springfield,Humidity,Medium,18.55
2016,Illinois,Champaign,Wind,Breeze,16.59
2016,Illinois,Champaign,Temperature,Calm,20.11
2016,Illinois,Champaign,Humidity,Storm,21.41
2016,Illinois,Champaign,Wind,11-20,21.76
2016,Illinois,Champaign,Temperature,21-30,19.42
2016,Illinois,Champaign,Humidity,0-10,24.06
2016,Illinois,Champaign,Wind,Low,24.36
2016,Illinois,Champaign,Temperature,High,22.09
2016,Illinois,Champaign,Humidity,Medium,23.69
2015,Oregon,Salem,Wind,Breeze,19.93
2015,Oregon,Salem,Temperature,Calm,20.84
2015,Oregon,Salem,Humidity,Storm,21.39
2015,Oregon,Salem,Wind,11-20,26.66
2015,Oregon,Salem,Temperature,21-30,26.95
2015,Oregon,Salem,Humidity,0-10,24.97
2015,Oregon,Salem,Wind,Low,10.37
2015,Oregon,Salem,Temperature,High,11.61
2015,Oregon,Salem,Humidity,Medium,13.7
2016,Illinois,Redmond,Wind,Breeze,13.57
2016,Illinois,Redmond,Temperature,Calm,14.61
2016,Illinois,Redmond,Humidity,Storm,15.81
2016,Illinois,Redmond,Wind,11-20,16.99
2016,Illinois,Redmond,Temperature,21-30,18.3
2016,Illinois,Redmond,Humidity,0-10,18.45
2016,Illinois,Redmond,Wind,Low,19.6
2016,Illinois,Redmond,Temperature,High,19.96
2016,Illinois,Redmond,Humidity,Medium,21.46
