Characteristic,Intensity,2018_California_Aberdeen,2018_California_Baltimore,2018_California_Los-Angeles,2019_Maryland_Berkeley,2019_Maryland_Columbia
Maximum,,21.60,26.95,9.57,15.43,27.58
,  ,21.60,26.95,9.57,15.43,27.58
Humidity,,20.19,26.95,5.66,14.37,27.58
,  21-30,16.33,15.61,2.59,9.05,27.58
,  Breeze,20.19,26.95,2.14,10.45,13.62
,  High,17.88,23.15,5.66,14.37,25.43
Temperature,,19.34,25.46,3.07,15.01,25.91
,  11-20,15.19,19.28,0.42,9.03,25.91
,  Medium,16.13,18.16,3.07,12.09,24.77
,  Storm,19.34,25.46,2.47,15.01,9.21
Wind,,21.60,25.13,9.57,15.43,21.57
,  31-40,16.74,15.03,3.79,10.40,21.57
,  Calm,21.60,25.13,9.57,11.18,13.72
,  Low,18.34,23.99,3.78,15.43,8.18
