Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2021,Nevada,Boulder City,Humidity,Medium,1.36
2021,Nevada,Boulder City,Temperature,High,3.85
2021,Nevada,Boulder City,Humidity,0-10,3.27
2021,Nevada,Boulder City,Temperature,11-20,4.97
2019,Michigan,Reno,Humidity,Medium,7.62
2019,Michigan,Reno,Temperature,High,9.2
2019,Michigan,Reno,Humidity,0-10,11.38
2019,Michigan,Reno,Temperature,11-20,11.36
2021,California,Flint,Humidity,Medium,13.42
2021,California,Flint,Temperature,High,13.47
2021,California,Flint,Humidity,0-10,15.53
2021,California,Flint,Temperature,11-20,16.07
2019,Nevada,Detroit,Humidity,Medium,16.66
2019,Nevada,Detroit,Temperature,High,12.0
2019,Nevada,Detroit,Humidity,0-10,12.26
2019,Nevada,Detroit,Temperature,11-20,20.33
2021,Michigan,Berkeley,Humidity,Medium,21.38
2021,Michigan,Berkeley,Temperature,High,22.49
2021,Michigan,Berkeley,Humidity,0-10,21.0
2021,Michigan,Berkeley,Temperature,11-20,16.96
2019,California,Malibu,Humidity,Medium,26.03
2019,California,Malibu,Temperature,High,26.12
2019,California,Malibu,Humidity,0-10,27.58
2019,California,Malibu,Temperature,11-20,26.5
