Quarter,Month,Production_Administration,Production_Factory,Production_School,Service_Library,Service_Workshop
Minimum,,51.01,3.99,85.31,58.61,36.49
,  ,51.01,3.99,85.31,58.61,36.49
Q1,,51.01,3.99,85.61,61.23,36.49
,  February,52.44,3.99,85.89,61.23,36.49
,  May,51.01,18.57,85.61,68.77,43.10
,  September,58.33,26.38,91.34,72.76,45.56
Q2,,53.10,12.45,85.63,61.61,39.08
,  February,54.79,31.91,91.76,75.08,47.45
,  July,53.80,18.13,85.63,68.93,44.02
,  March,53.10,12.45,85.95,61.61,39.08
Q3,,51.31,14.63,85.31,58.61,42.48
,  April,51.31,14.63,87.77,58.61,42.74
,  August,57.91,24.75,85.31,70.40,42.48
,  March,58.46,31.06,89.84,78.01,51.66
